Timestamp data collected on 2025-06-30 16:27:44
02070208,71A75E02,02070207,71A4EEB4
02080209,71A9CF01,02080208,71A75FB3
0209020B,71AC41C0,02090209,71A9D0B2
020A020C,71AEB2C0,020A020A,71AC41B0
020B020C,71B12202,020B020B,71AEB2AC
020C020E,71B394C0,020C020C,71B123B4
020D020F,71B605BE,020D020D,71B394AC
020E020F,71B87501,020E020E,71B605A4
020F0211,71BAE7C0,020F020F,71B876B2
02100212,71BD58BE,02100210,71BAE7A9
02110213,71BFC9BC,02110211,71BD58A4
02120214,71C23ABF,02120212,71BFC9A2
02130215,71C4ABC0,02130213,71C23AA7
02140216,71C71CC0,02140214,71C4ABAC
02150217,71C98DBB,02150215,71C71CAA
02160218,71CBFEB8,02160216,71C98DA2
02170219,71CE6FC0,02170217,71CBFEA0
0218021A,71D0E0BC,02180218,71CE6FAA
0219021B,71D351B6,02190219,71D0E0A2
021A021C,71D5C2BA,021A021A,71D3519E
021B021D,71D833B8,021B021B,71D5C2A2
021C021E,71DAA4B4,021C021C,71D833A0
021D021F,71DD15B3,021D021D,71DAA49C
021E0220,71DF86BB,021E021E,71DD159C
021F0221,71E1F7B6,021F021F,71DF86A2
02200222,71E468B2,02200220,71E1F79E
02210223,71E6D9B2,02210221,71E4689B
02220224,71E94AB6,02220222,71E6D99A
02230225,71EBBBB1,02230223,71E94A9E
02240226,71EE2CA8,02240224,71EBBB98
02250227,71F09DB0,02250225,71EE2C91
02260228,71F30EB3,02260226,71F09D96
02270229,71F57FAE,02270227,71F30E9C
0228022A,71F7F0A8,02280228,71F57F94
0229022B,71FA61AA,02290229,71F7F08F
022A022C,71FCD2AC,022A022A,71FA6192
022B022D,71FF43AA,022B022B,71FCD294
022C022E,7201B4A7,022C022C,71FF4391
022D022F,720425A8,022D022D,7201B48E
022E0230,720696AA,022E022E,7204258E
022F0231,720907A8,022F022F,72069692
02300232,720B78A8,02300230,7209078F
02310233,720DE9A4,02310231,720B788E
02320234,72105AA2,02320232,720DE98C
02330235,7212CBA2,02330233,72105A8A
02340236,72153CA6,02340234,7212CB88
02350237,7217ADA4,02350235,72153C8C
02360238,721A1E9B,02360236,7217AD8A
02370239,721C8F92,02370237,721A1E82
0238023A,721F0098,02380238,721C8F7C
